,Quick Lookup,USDA Symbol,Available Flag,Local Flag,Online Flag,Article Flag,Local Count,Online Counts,Article Counts,Local Names,Online Names,Article Names,Super Plant,Blurb,Recommendation Score,QUIZ_BEE,QUIZ_BUTTERFLY,QUIZ_HUMMINGBIRD,Plant Type,Scientific Name,Common Name,Plant Family,Native Status,Distribution in USA,Workhorse,Flower Color,Showy,Flowering Months,Height (feet),Lifespan,Growth Form,Shape and Orientation,Fall Conspicuous,Leaf Retention,Sun Exposure,Soil Moisture,Moisture Use,Soil Texture,Salt Tolerance,pH (Range),Fertility Requirement,Growth Rate,Active Growth Period,Hedge Tolerance,Resprout Ability,Drought Tolerance,Fire Tolerance,Palatability (Browsing/Grazing),Propagation,Commercially Available,Pollinator Value,Benefits To Pollinators,Pollinators,Native Bees (except Bombus),Bombus,Honey Bees,"Beetles, Wasps, Flies",Moths,Butterflies,Monarchs,Nesting and Structure (Bees),Larval Host (Monarch),Larval Host (Butterfly),Larval Host (Moth),Larval Species (Lepidoptera),Hummingbirds,Bats,Wind
475,Liatris pilosa,LIPI7,1,1,1,0,1,5,0,Arcadia Washington,PlantMoreNatives.com,Longwood Gardens,No,,5.2,Yes,Yes,No,Herb (perennial),Liatris pilosa,Shaggy Blazing Star,Asteraceae,L48 (N),"AL, DC, DE, FL, GA, KY, MD, NC, NJ, PA, SC, VA, WV",Pollinator,Rose–pink,Yes,Jul–Sep,1–6,Moderate,Single Stem,Erect,No Color,Deciduous,Sun,"Moist, Dry",Low,,Low,5.8–6.8,Low,Moderate,"Spring, Summer",None,No,Medium,High,,Seed,Available 2017,Medium,Adult Food; Larval Food,Native Bees; Butterflies; Larval Host (Moth),Yes,,,,,Yes,,,,,Yes,Synchlora aerata,,,
476,Liatris pycnostachya,LIPY,1,0,1,0,0,5,0,,ErnstSeed.com,Longwood Gardens,No,,7.0,Yes,Yes,Yes,Herb (perennial),Liatris pycnostachya,Prairie Blazing Star,Asteraceae,L48 (N),"AR, IA, IL, IN, KS, KY, LA, MA, MI, MN, MO, MS, ND, NE, NJ, NY, OH, OK, PA, SD, TX, WI",Workhorse/Pollinator,Rose–purple,Yes,Jul–Sep,2–5,Moderate,Multiple Stem,Erect,No Color,Deciduous,Sun,"Wet, Moist, Dry",Medium,,None,6–8.5,Medium,Moderate,Summer,None,No,Medium,High,Medium/Low,"Seed, Container, Corm",Available 2017,Very High,Adult Food; Larval Food; Nesting and Structure (Bees),"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Monarchs; Larval Host (Moth); Hummingbirds",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Papaipema beeriana,Yes,,
477,Liatris scariosa,LISC2,1,1,1,0,8,5,0,"Arcadia Washington, Archewild Quakertown, Edge ot Woods Orefield, Gino's Newtown, Keystone Robesonia, Northeast Quakertown, Perennial New Bloomfield, Redbud Media",PlantMoreNatives.com,Longwood Gardens,No,,8.0,Yes,Yes,No,Herb (perennial),Liatris scariosa,Devil's Bite,Asteraceae,L48 (N),"AL, AR, CT, DE, GA, IL, IN, MA, MD, ME, MI, MO, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, WI, WV",Workhorse/Pollinator,Rose–pink,Yes,Aug–Sep,1.5–2,,,,,,Sun,Dry,,,,,,,,,,,,,,Available 2017,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Beetles, Wasps, Flies; Butterflies; Monarchs; Larval Host (Moth)",Yes,Yes,,Yes,,Yes,Yes,,,,Yes,Carmenta anthracipennis,,,
478,Liatris spicata,LISP,1,1,1,1,9,6,7,"Arcadia Washington, Archewild Quakertown, Collins Glenside, Gino's Newtown, Hungry Hook Bainbridge, Keystone Robesonia, Northeast Quakertown, Perennial New Bloomfield, Redbud Media",ErnstSeed.com,Longwood Gardens,Yes,,10.5,Yes,Yes,Yes,Herb (perennial),Liatris spicata,Dense Blazing Star,Asteraceae,"L48 (N), CAN (N)","AL, AR, CT, DC, DE, FL, GA, IL, IN, KY, LA, MA, MD, MI, MO, MS, NC, NJ, NY, OH, OK, PA, SC, TN, VA, WI, WV",Workhorse/Pollinator,Pink–purple,Yes,Jul–Sep,2–4,Moderate,Rhizomatous,Erect,No Color,Deciduous,"Sun, Part Shade","Wet, Moist, Dry",Medium,,Low,5.6–7.5,Low,Slow,Summer,None,No,Low,High,Low/Low,"Seed, Container, Corm",Available 2017,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Beetles, Wasps, Flies; Butterflies; Monarchs; Larval Host (Moth); Hummingbirds",Yes,Yes,,Yes,,Yes,Yes,,,,Yes,Papaipema beeriana,Yes,,
479,Lilium canadense,LICA3,1,1,0,0,1,4,0,Redbud Media,PlantMoreNatives.com,Longwood Gardens,No,,3.2,No,Yes,Yes,Herb (perennial),Lilium canadense,Canada Lily,Liliaceae,"L48 (N), CAN (N)","AL, AR, CT, DC, DE, GA, IA, IN, KS, KY, MA, MD, ME, NC, NE, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WV",Pollinator,"Red, orange",Yes,Jun–Aug,3–5,,,,,,"Sun, Part Shade","Wet, Moist, Dry",,,,,,,,,,,,,,Available 2017,Medium,Adult Food; Larval Food,Butterflies; Larval Host (Moth); Hummingbirds,,,,,,Yes,,,,,Yes,"Hymenia perspectalis, Papaipema cerina",Yes,,
480,Lilium michiganense,LIMI9,1,0,1,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,2.2,Yes,Yes,Yes,Herb (perennial),Lilium michiganense,Michigan Lily,Liliaceae,"L48 (N), CAN (N)","AL, AR, GA, IA, IL, IN, KS, KY, MI, MN, MO, MS, NE, NY, OH, OK, PA, SD, TN, WI",Workhorse/Pollinator,"Orange, red",Yes,Jun–Jul,2–6,,,,,,"Sun, Part Shade","Wet, Moist",,,,,,,,,,,,,,Available 2017,Medium,Adult Food,Native Bees; Butterflies; Hummingbirds,Yes,,,,,Yes,,,,,,,Yes,,
481,Lilium philadelphicum,LIPH,1,1,1,0,1,4,0,Perennial New Bloomfield,PlantMoreNatives.com,Longwood Gardens,No,,3.2,No,Yes,Yes,Herb (perennial),Lilium philadelphicum,Wood Lily,Liliaceae,"L48 (N), CAN (N)","AL, AR, AZ, CO, CT, DC, DE, GA, IA, IL, IN, KY, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NM, NY, OH, PA, RI, SD, TN, TX, VA, VT, WI, WV, WY",Pollinator,,Yes,Jun–Aug,,,,,,,"Sun, Part Shade, Shade","Moist, Dry",,,,,,,,,,,,,,Available 2017,Medium,Adult Food,Moths; Butterflies; Hummingbirds,,,,,Yes,Yes,,,,,,,Yes,,
482,Lilium superbum,LISU,1,1,1,0,4,4,0,"Gino's Newtown, Keystone Robesonia, Northeast Quakertown, Redbud Media",PlantMoreNatives.com,Longwood Gardens,No,,8.0,Yes,Yes,Yes,Herb (perennial),Lilium superbum,Turk's-Cap Lily,Liliaceae,L48 (N),"AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KY, MA, MD, MO, MS, NC, NH, NJ, NY, OH, PA, RI, TN, VA, WV",Pollinator,"Orange, red",Yes,Jul–Aug,3–10,,,,,,"Part Shade, Shade","Wet, Moist",,,,,,,,,,,,,,Available 2017,Very High,Adult Food; Larval Food,Native Bees; Moths; Butterflies; Monarchs; Larval Host (Moth); Hummingbirds,Yes,,,,Yes,Yes,Yes,,,,Yes,"Papaipema cataphracta, Papaipema cerina, Papaipema nebris",Yes,,
483,Lindera benzoin,LIBE3,1,1,1,1,9,6,1,"Arcadia Washington, Archewild Quakertown, Collins Glenside, Gino's Newtown, Go Native Trees, Hungry Hook Bainbridge, Northeast Quakertown, Perennial New Bloomfield, Redbud Media",PlantMoreNatives.com,Longwood Gardens,Yes,,7.5,Yes,Yes,No,Shrub,Lindera benzoin,Northern Spicebush,Lauraceae,"L48 (N), CAN (N)","AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WV",Workhorse/Pollinator,Yellow–green,Yes,Apr–May,4–7,Long,Multiple Stem,Erect,No Color,Deciduous,"Sun, Part Shade, Shade","Wet, Moist",Medium,,None,4.5–6,High,Slow,"Spring, Summer",Low,Yes,Low,,Medium/Low,"Seed, Container, Bare root",Available 2017,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Beetles, Wasps, Flies; Butterflies; Larval Host (Butterfly); Larval Host (Moth)",Yes,Yes,,Yes,,Yes,,,,Yes,Yes,"Amorbia humerosana, Apatelodes torrefacta, Callosamia promethea, Eacles imperialis, Lymantria dispar, Papilio glaucus, Papilio glaucus glaucus, Papilio palamedes, Papilio troilus, Samia cynthia cynthia, Tetracis crocallata",,,
484,Linnaea borealis,LIBO3,0,0,0,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,2.2,Yes,No,No,Herb (perennial),Linnaea borealis,Twinflower,Caprifoliaceae,"L48 (N), AK (N), CAN (N), GL (N), SPM (N)","AK, AZ, CA, CO, CT, IA, ID, IL, IN, MA, MD, ME, MI, MN, MT, ND, NH, NJ, NM, NY, OH, OR, PA, RI, SD, TN, UT, VT, WA, WI, WV, WY",Workhorse/Pollinator,Pink,,Jun–Aug,0.2–0.5,,,,,,Part Shade,"Moist, Dry",,Medium,,,,,,,,,,,,Available 2017,Medium,Adult Food,"Native Bees; Beetles, Wasps, Flies",Yes,,,Yes,,,,,,,,,,,
485,Linum perenne,LIPE2,1,0,1,0,0,5,0,,ErnstSeed.com,Longwood Gardens,No,,2.2,Yes,No,No,"Shrub, Herb (perennial)",Linum perenne,Blue Flax,Linaceae,"L48 (I), AK (N), CAN (N)","IA, IL, KS, ME, MI, MT, NE, NY, OH, OR, PA, SD, VA, WI, WV",Pollinator,Blue,,May–Sep,1–1.5,,,,,,Sun,Dry,,,,,,,,,,,,,,Available 2017,Medium,Adult Food,Native Bees; Honey Bees,Yes,,Yes,,,,,,,,,,,,
486,Linum sulcatum,LISU4,1,0,1,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,2.2,Yes,No,No,Herb (annual),Linum sulcatum,Grooved Flax,Linaceae,"L48 (N), CAN (N)","AL, AR, CT, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SD, TN, TX, VA, VT, WI, WV",Pollinator,,,,,,,,,,,,,,,,,,,,,,,,,Available 2017,Medium,Adult Food; Larval Food,Native Bees; Larval Host (Moth),Yes,,,,,,,,,,Yes,"Euxoa auxilaris, Euxoa tessellata, Helicoverpa zea, Heliothis ononis, Heliothis virescens, Mamestra configurata, Mythimna unipuncta, Xestia c-nigrum",,,
487,Liquidambar styraciflua,LIST2,1,1,1,0,7,5,0,"Archewild Quakertown, Collins Glenside, Edge ot Woods Orefield, Gino's Newtown, Go Native Trees, Musser Indiana, Redbud Media",PlantMoreNatives.com,Longwood Gardens,No,,7.0,Yes,Yes,No,Tree,Liquidambar styraciflua,Sweetgum,Hamamelidaceae,L48 (N),"AL, AR, CA, CT, DC, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, MO, MS, NC, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, WV",Workhorse/Pollinator,Green,No,Apr–May,100,Long,Single Stem,Erect,Color,Deciduous,"Sun, Part Shade","Wet, Moist",High,,None,4.5–7,Medium,Rapid,"Spring, Summer",Low,Yes,Low,Low,Medium/,"Seed, Container, Bare root, Cutting",Available 2017,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies; Larval Host (Butterfly); Larval Host (Moth); Wind",Yes,Yes,Yes,Yes,,Yes,,,,Yes,Yes,"Actias luna luna, Amphipyra pyramidoides, Automeris io io, Callosamia promethea, Callosamia securifera, Citheronia regalis, Citheronia splendens sinaloensis, Coleotechnites vagatioella, Dasychira atrivenosa, Dasychira leucophaea, Eacles imperialis imperialis, Eacles oslari, Euzophera semifuneralis, Gluphisia septentrionis, Halysidota tessellaris, Hyalophora cecropia, Hyalophora euryalus, Hyphantria cunae, Malacosoma americana, Malacosoma disstria, Nemoria elfa, Nemoria saturiba, Nephopterix uvinella, Oiketicus abbotii, Orgyia leucostigma, Paectes abrostoloides, Paectes delineata, Paectes pygmaea, Phyllocnistis liquidambarisella, Samia cynthia cynthia, Satyrium kingi, Satyrium liparops, Schizura concinna, Zeuzera pyrina",,,Yes
488,Liriodendron tulipifera,LITU,1,1,1,0,7,5,0,"Archewild Quakertown, Bowman's New Hope, Edge ot Woods Orefield, Gino's Newtown, Go Native Trees, Perennial New Bloomfield, Redbud Media",PlantMoreNatives.com,Longwood Gardens,No,,7.0,Yes,Yes,No,Tree,Liriodendron tulipifera,Tuliptree,Magnoliaceae,"L48 (N), CAN (N)","AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, MI, MO, MS, NC, NJ, NY, OH, PA, RI, SC, TN, TX, VA, VT, WV",Workhorse/Pollinator,"Green–yellow, orange",Yes,Apr–May,80–180,Moderate,Single Stem,Erect,Color,Deciduous,"Sun, Part Shade","Moist, Dry",Medium,,Low,4.5–6.5,High,Rapid,"Spring, Summer",None,Yes,Low,Medium,Low/,"Seed, Container, Bare root, Cutting",Available 2017,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies; Larval Host (Butterfly); Larval Host (Moth)",Yes,Yes,Yes,Yes,,Yes,,,,Yes,Yes,"Actias luna luna, Automeris io io, Callosamia angulifera, Callosamia promethea, Callosamia securifera, Endopiza liriodendrana, Epimecis hortaria, Euzophera ostricolorella, Halysidota tessellaris, Hyalophora cecropia, Hyblaea puera, Hyphantria cunae, Lymantria dispar, Orgyia leucostigma, Papilio glaucus, Papilio glaucus glaucus, Papilio troilus, Perimede erransella, Phyllocnistis liriodendronella, Samia cynthia cynthia, Zeuzera pyrina",,,
489,Lithospermum canescens,LICA12,0,0,0,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,5.0,Yes,Yes,No,Herb (perennial),Lithospermum canescens,Hoary Puccoon,Boraginaceae,"L48 (N), CAN (N)","AL, AR, DC, GA, IA, IL, IN, KS, KY, MD, MI, MN, MO, MS, NC, ND, NE, NJ, NY, OH, OK, PA, SC, SD, TN, TX, VA, WI, WV",Pollinator,,No,,,,,,,,,,,,,,,,,,,,,,,Available 2017,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Monarchs; Larval Host (Moth)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Ethmia fuscipedella,,,
490,Lithospermum caroliniense,LICA13,0,0,0,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,2.2,Yes,No,No,Herb (perennial),Lithospermum caroliniense,Carolina Puccoon,Boraginaceae,"L48 (N), CAN (N)","AL, AR, CO, FL, GA, IA, IL, IN, KS, KY, LA, MI, MN, MO, MS, NE, NY, OH, OK, PA, SC, SD, TN, TX, VA, WI, WV",Pollinator,Yellow,No,May–Jun,0.5–1.5,,,,,,"Sun, Part Shade","Moist, Dry",,,,,,,,,,,,,,Available 2017,Medium,Adult Food; Larval Food,Native Bees; Larval Host (Moth),Yes,,,,,,,,,,Yes,Ethmia fuscipedella,,,
491,Lobelia cardinalis,LOCA2,1,1,1,1,11,6,5,"Arcadia Washington, Archewild Quakertown, Butterfly Oasis Lancaster, Collins Glenside, Earthbound Ephrata, Gino's Newtown, Hungry Hook Bainbridge, Keystone Robesonia, Northeast Quakertown, Perennial New Bloomfield, Redbud Media",ErnstSeed.com,Longwood Gardens,Yes,,9.1,Yes,Yes,Yes,Herb (perennial),Lobelia cardinalis,Cardinal Flower,Campanulaceae,"L48 (N), CAN (N)","AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NM, NV, NY, OH, OK, PA, RI, SC, TN, TX, UT, VA, VT, WI, WV",Workhorse/Pollinator,Red,Yes,Jun–Aug,2–5,Moderate,Single Stem,Erect,No Color,Deciduous,"Part Shade, Shade","Wet, Moist",Low,Medium,None,5.8–7.8,Medium,Moderate,Spring,None,No,Medium,Low,Medium/Medium,"Seed, Container",Available 2017,High,Adult Food,Native Bees; Bombus; Honey Bees; Butterflies; Hummingbirds,Yes,Yes,Yes,,,Yes,,,,,,,Yes,,
492,Lobelia inflata,LOIN,1,0,1,1,0,5,2,,PlantMoreNatives.com,Longwood Gardens,Yes,,2.7,Yes,Yes,No,Herb (annual),Lobelia inflata,Indian-Tobacco,Campanulaceae,"L48 (N), CAN (N)","AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, TN, VA, VT, WI, WV",Pollinator,,Yes,Oct,,,,,,,,"Moist, Dry",,,,,,,,,,,,,,Available 2017,Medium,Adult Food,Native Bees; Butterflies,Yes,,,,,Yes,,,,,,,,,
493,Lobelia puberula,LOPU,1,0,1,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,2.2,Yes,Yes,No,Herb (perennial),Lobelia puberula,Downy Lobelia,Campanulaceae,L48 (N),"AL, AR, DC, DE, FL, GA, IL, IN, KY, LA, MD, MO, MS, NC, NJ, OH, OK, PA, SC, TN, TX, VA, WV",Pollinator,,Yes,,,,,,,,,"Wet, Moist",,,,,,,,,,,,,,Available 2017,Medium,Adult Food,Native Bees; Bombus; Butterflies,Yes,Yes,,,,Yes,,,,,,,,,
494,Lobelia siphilitica,LOSI,1,1,1,1,13,6,3,"Arcadia Washington, Archewild Quakertown, Butterfly Oasis Lancaster, Collins Glenside, Earthbound Ephrata, Edge ot Woods Orefield, Gino's Newtown, Good Host Plants Philly, Hungry Hook Bainbridge, Keystone Robesonia, Northeast Quakertown, Perennial New Bloomfield, Redbud Media",ErnstSeed.com,Longwood Gardens,Yes,,9.0,Yes,Yes,Yes,Herb (perennial),Lobelia siphilitica,Great Blue Lobelia,Campanulaceae,"L48 (N), CAN (N)","AL, AR, CO, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, SC, SD, TN, TX, VA, VT, WI, WV, WY",Workhorse/Pollinator,Blue,Yes,Jun–Aug,2–5,,,,,,Sun,"Wet, Moist",,,,,,,,,,,,,,Available 2017,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Monarchs; Larval Host (Moth); Hummingbirds",Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Palthis angulalis,Yes,,
495,Lobelia spicata,LOSP,1,1,1,1,2,5,2,"Arcadia Washington, Hungry Hook Bainbridge",PlantMoreNatives.com,Longwood Gardens,Yes,,5.1,Yes,Yes,No,Herb (perennial),Lobelia spicata,Palespike Lobelia,Campanulaceae,"L48 (N), CAN (N)","AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV",Pollinator,,Yes,,,,,,,,,"Wet, Moist, Dry",,,,,,,,,,,,,,Available 2017,High,Adult Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Butterflies",Yes,Yes,Yes,Yes,,Yes,,,,,,,,,
496,Lonicera canadensis,LOCA7,1,1,0,0,1,4,0,Redbud Media,PlantMoreNatives.com,Longwood Gardens,No,,3.6,No,Yes,Yes,Shrub,Lonicera canadensis,American Fly Honeysuckle,Caprifoliaceae,"L48 (N), CAN (N)","CT, GA, IA, IL, IN, MA, MD, ME, MI, MN, NC, NH, NJ, NY, OH, PA, TN, VA, VT, WI, WV",Pollinator,,Yes,,,,,,,,,"Moist, Dry",,,,,,,,,,,,,,Available 2017,High,Adult Food; Larval Food,Bombus; Butterflies; Larval Host (Butterfly); Hummingbirds,,Yes,,,,Yes,,,,Yes,,Euphydryas phaeton,Yes,,
497,Lonicera dioica,LODI2,0,0,0,0,0,5,0,,PlantMoreNatives.com,Longwood Gardens,No,,2.6,Yes,Yes,Yes,Vine,Lonicera dioica,Limber Honeysuckle,Caprifoliaceae,"L48 (N), CAN (N)","AR, CT, GA, IA, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SD, TN, VA, VT, WI, WV, WY",Pollinator,"Red, maroon",Yes,May–Jun,3–10,,,,,,"Sun, Part Shade, Shade","Moist, Dry",,,,,,,,,,,,,,Available 2017,High,Adult Food; Larval Food,Native Bees; Bombus; Butterflies; Larval Host (Moth); Hummingbirds,Yes,Yes,,,,Yes,,,,,Yes,"Callizzia amorata, Homohadena badistriga",Yes,,
498,Lonicera hirsuta,LOHI,0,0,0,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,2.2,No,Yes,No,Vine,Lonicera hirsuta,Hairy Honeysuckle,Caprifoliaceae,"L48 (N), CAN (N)","MA, MI, MN, NY, PA, VT, WI",Pollinator,,Yes,,,,,,,,,"Wet, Moist, Dry",,,,,,,,,,,,,,Available 2017,Medium,Adult Food,Bombus; Butterflies,,Yes,,,,Yes,,,,,,,,,
499,Lonicera oblongifolia,LOOB,0,0,0,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,2.2,No,Yes,No,Shrub,Lonicera oblongifolia,Swamp Fly Honeysuckle,Caprifoliaceae,"L48 (N), CAN (N)","IA, ME, MI, MN, NY, OH, PA, VT, WI",Pollinator,,Yes,,,,,,,,,Wet,,,,,,,,,,,,,,Available 2017,Medium,Adult Food; Larval Food,Bombus; Butterflies; Larval Host (Butterfly),,Yes,,,,Yes,,,,Yes,,Euphydryas phaeton,,,
500,Lonicera sempervirens,LOSE,1,1,1,0,5,5,0,"Arcadia Washington, Collins Glenside, Edge ot Woods Orefield, Gino's Newtown, Redbud Media",PlantMoreNatives.com,Longwood Gardens,No,,6.6,No,Yes,Yes,Vine,Lonicera sempervirens,Trumpet Honeysuckle,Caprifoliaceae,"L48 (N), CAN (I)","AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WV",Workhorse/Pollinator,Red,Yes,Jul–Sep,10–20,Long,Multiple Stem,Climbing,No Color,Evergreen,"Part Shade, Shade","Moist, Dry",Medium,,None,6–8.5,Medium,Rapid,Spring,Medium,Yes,Low,Medium,Medium/Medium,"Seed, Container, Bare root",Available 2017,High,Adult Food; Larval Food,Bombus; Moths; Butterflies; Larval Host (Moth); Hummingbirds,,Yes,,,Yes,Yes,,,,,Yes,"Hemaris diffinis, Phyllonorycter fragilella",Yes,,
501,Lonicera villosa,LOVI,0,0,0,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,2.2,No,Yes,No,Shrub,Lonicera villosa,Mountain Fly Honeysuckle,Caprifoliaceae,"L48 (N), CAN (N), SPM (N)","CT, MA, ME, MI, MN, NH, NY, OH, PA, RI, VT, WI",Pollinator,,Yes,,,,,,,,,"Wet, Moist",,,,,,,,,,,,,,Available 2017,Medium,Adult Food,Bombus; Butterflies,,Yes,,,,Yes,,,,,,,,,
502,Ludwigia alternifolia,LUAL2,1,1,1,0,3,6,0,"Arcadia Washington, Hungry Hook Bainbridge, Redbud Media",ErnstSeed.com,Longwood Gardens,No,,5.6,Yes,Yes,No,Herb (perennial),Ludwigia alternifolia,Seedbox,Onagraceae,"L48 (N), CAN (N)","AL, AR, CO, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MO, MS, NC, NE, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV",Pollinator,,No,,,,,,,,,Wet,,,,,,,,,,,,,,Available 2017,High,Adult Food,"Native Bees; Bombus; Beetles, Wasps, Flies; Moths; Butterflies",Yes,Yes,,Yes,Yes,Yes,,,,,,,,,
503,Ludwigia palustris,LUPA,1,0,1,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,2.6,Yes,Yes,No,Herb (perennial),Ludwigia palustris,Marsh Seedbox,Onagraceae,"L48 (N), HI (I), PR (N), CAN (N)","AL, AR, AZ, CA, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NM, NY, OH, OK, OR, PA, RI, SC, TN, TX, VA, VT, WA, WI, WV",Pollinator,Green,No,Apr–May,0.2,Short,Stoloniferous,Prostrate,No Color,Deciduous,"Sun, Part Shade",Wet,High,,None,5–8.5,Low,Rapid,Summer,None,No,None,None,Medium/,Sprig,Available 2017,High,Adult Food,"Native Bees; Bombus; Beetles, Wasps, Flies; Moths; Butterflies",Yes,Yes,,Yes,Yes,Yes,,,,,,,,,
504,Ludwigia polycarpa,LUPO,0,0,0,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,2.6,Yes,Yes,No,Herb (perennial),Ludwigia polycarpa,Manyfruit Primrose-Willow,Onagraceae,"L48 (N), CAN (N)","AL, AR, CT, IA, ID, IL, IN, KS, KY, MA, ME, MI, MN, MO, NE, OH, PA, TN, VA, VT, WI, WV",Pollinator,,No,,,,,,,,,Wet,,,,,,,,,,,,,,Available 2017,High,Adult Food,"Native Bees; Bombus; Beetles, Wasps, Flies; Moths; Butterflies",Yes,Yes,,Yes,Yes,Yes,,,,,,,,,
505,Ludwigia sphaerocarpa,LUSP,0,0,0,0,0,4,0,,PlantMoreNatives.com,Longwood Gardens,No,,2.6,Yes,Yes,No,Herb (perennial),Ludwigia sphaerocarpa,Globefruit Primrose-Willow,Onagraceae,L48 (N),"AL, CT, DE, FL, GA, IL, IN, LA, MA, MD, MI, NC, NJ, NY, PA, RI, SC, TN, TX, VA",Pollinator,,No,,,,,,,,,Wet,,,,,,,,,,,,,,Available 2017,High,Adult Food,"Native Bees; Bombus; Beetles, Wasps, Flies; Moths; Butterflies",Yes,Yes,,Yes,Yes,Yes,,,,,,,,,
506,Lupinus perennis,LUPE3,1,1,1,1,1,5,2,Keystone Robesonia,ErnstSeed.com,Longwood Gardens,Yes,,4.5,Yes,Yes,Yes,Herb (perennial),Lupinus perennis,Wild Lupine,Fabaceae,"L48 (N), CAN (N), SPM (I)","AL, CT, DC, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MS, NC, NH, NJ, NY, OH, PA, RI, SC, TX, VA, VT, WI, WV",Workhorse/Pollinator,Blue–purple,Yes,Apr–Jun,1–3,,,,,,Sun,Dry,,Coarse,Medium,,,,,,,,,,,Available 2017,Very High,Adult Food; Larval Food,"Native Bees; Bombus; Honey Bees; Beetles, Wasps, Flies; Moths; Butterflies; Larval Host (Butterfly); Larval Host (Moth); Hummingbirds",Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,"Anacampsis lupinella, Callophrys irus, Colias eurytheme, Cupido comyntas, Erynnis baptisiae, Erynnis persius, Lycaeides melissa",Yes,,
